Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/selectStatus""))",Chrome 108.0.0.0,,,2022-12-28 11:16:37,2022-12-28 11:16:38,0.566s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/selectStatusEnabled""))",Chrome 108.0.0.0,,,2022-12-28 11:16:38,2022-12-28 11:16:38,0.510s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/inputEmployeeName""), ""I"")",Chrome 108.0.0.0,,,2022-12-28 11:16:38,2022-12-28 11:16:39,1.130s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:16:39,2022-12-28 11:16:44,5.009s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/selectEmployeeName""))",Chrome 108.0.0.0,,,2022-12-28 11:16:44,2022-12-28 11:16:45,0.651s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/inputUsername""), ""Admintestt12356"")",Chrome 108.0.0.0,,,2022-12-28 11:16:45,2022-12-28 11:16:46,1.126s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/inputPassword""), ""TestAdmin123%"")",Chrome 108.0.0.0,,,2022-12-28 11:16:46,2022-12-28 11:16:48,1.646s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/inputConfirmPassword""), ""TestAdmin123%"")",Chrome 108.0.0.0,,,2022-12-28 11:16:48,2022-12-28 11:16:49,1.129s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:16:49,2022-12-28 11:16:54,5.012s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:16:54,2022-12-28 11:16:55,0.738s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/button_Save""))",Chrome 108.0.0.0,,,2022-12-28 11:16:55,2022-12-28 11:16:55,0.544s,PASSED
"verifyElementText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/verifViewAdmin""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-28 11:16:55,2022-12-28 11:16:56,0.496s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:16:56,2022-12-28 11:17:01,5.024s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:17:01,2022-12-28 11:17:02,1.123s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/searchUsername""), ""Testtest"")",Chrome 108.0.0.0,,,2022-12-28 11:17:02,2022-12-28 11:17:03,0.997s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/button_Search""))",Chrome 108.0.0.0,,,2022-12-28 11:17:03,2022-12-28 11:17:03,0.615s,PASSED
"verifyElementText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/verifNoRecordsFound""), ""No Records Found"")",Chrome 108.0.0.0,,,2022-12-28 11:17:03,2022-12-28 11:17:04,1.041s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:17:04,2022-12-28 11:17:09,5.010s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:17:09,2022-12-28 11:17:10,0.753s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/button_Reset""))",Chrome 108.0.0.0,,,2022-12-28 11:17:10,2022-12-28 11:17:11,0.701s,PASSED
"setText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/searchUsername""), ""Admintestt12356"")",Chrome 108.0.0.0,,,2022-12-28 11:17:11,2022-12-28 11:17:13,2.619s,PASSED
"click(findTestObject(""Object Repository/Admin/Page_OrangeHRM/button_Search""))",Chrome 108.0.0.0,,,2022-12-28 11:17:13,2022-12-28 11:17:14,0.549s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:17:14,2022-12-28 11:17:19,5.016s,PASSED
"verifyElementText(findTestObject(""Object Repository/Admin/Page_OrangeHRM/verifRecordFound""), ""(1) Record Found"")",Chrome 108.0.0.0,,,2022-12-28 11:17:19,2022-12-28 11:17:20,0.542s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:17:20,2022-12-28 11:17:25,5.018s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:17:25,2022-12-28 11:17:25,0.757s,PASSED
,,,,,,,
Test Cases/MyInfo,Chrome 108.0.0.0,,,2022-12-28 11:17:25,2022-12-28 11:18:35,1m - 9.393s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/sideMyInfo""))",Chrome 108.0.0.0,,,2022-12-28 11:17:26,2022-12-28 11:17:27,1.683s,PASSED
"verifyElementText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/verifViewPersonalDetails""), ""Personal Details"")",Chrome 108.0.0.0,,,2022-12-28 11:17:27,2022-12-28 11:17:30,2.312s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/sideContactDetails""))",Chrome 108.0.0.0,,,2022-12-28 11:17:30,2022-12-28 11:17:31,1.226s,PASSED
"verifyElementText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/verifViewContactDetails""), ""Contact Details"")",Chrome 108.0.0.0,,,2022-12-28 11:17:31,2022-12-28 11:17:31,0.474s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputStreet1""), ""1Street123"")",Chrome 108.0.0.0,,,2022-12-28 11:17:31,2022-12-28 11:17:33,2.027s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputStreet2""), ""2Street123"")",Chrome 108.0.0.0,,,2022-12-28 11:17:33,2022-12-28 11:17:34,0.924s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputCity""), ""Testcity123"")",Chrome 108.0.0.0,,,2022-12-28 11:17:34,2022-12-28 11:17:35,1.073s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputStateProvince""), ""Testprovince123"")",Chrome 108.0.0.0,,,2022-12-28 11:17:35,2022-12-28 11:17:37,1.170s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputZipPostalCode""), ""123"")",Chrome 108.0.0.0,,,2022-12-28 11:17:37,2022-12-28 11:17:38,1.045s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/ddCountry""))",Chrome 108.0.0.0,,,2022-12-28 11:17:38,2022-12-28 11:17:38,0.517s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/selectCountry""))",Chrome 108.0.0.0,,,2022-12-28 11:17:38,2022-12-28 11:17:39,0.642s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputTelpHome""), ""0812345"")",Chrome 108.0.0.0,,,2022-12-28 11:17:39,2022-12-28 11:17:40,1.121s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputTelpMobile""), ""02123456"")",Chrome 108.0.0.0,,,2022-12-28 11:17:40,2022-12-28 11:17:41,0.910s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputTelpWork""), ""90203040"")",Chrome 108.0.0.0,,,2022-12-28 11:17:41,2022-12-28 11:17:42,1.093s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputWorkEmail""), ""testemailwork@gmail.com"")",Chrome 108.0.0.0,,,2022-12-28 11:17:42,2022-12-28 11:17:43,1.116s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputOtherEmail""), ""testotheremail@gmail.com"")",Chrome 108.0.0.0,,,2022-12-28 11:17:43,2022-12-28 11:17:45,1.519s,PASSED
delay(10),Chrome 108.0.0.0,,,2022-12-28 11:17:45,2022-12-28 11:17:55,10.015s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:17:55,2022-12-28 11:17:55,0.753s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/button_Save""))",Chrome 108.0.0.0,,,2022-12-28 11:17:55,2022-12-28 11:17:56,0.513s,PASSED
delay(10),Chrome 108.0.0.0,,,2022-12-28 11:17:56,2022-12-28 11:18:06,10.013s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:18:06,2022-12-28 11:18:07,0.804s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/button_Add""))",Chrome 108.0.0.0,,,2022-12-28 11:18:07,2022-12-28 11:18:07,0.647s,PASSED
"uploadFile(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/generateUploadFile""), file)",Chrome 108.0.0.0,,,2022-12-28 11:18:07,2022-12-28 11:18:08,0.590s,PASSED
"setText(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/inputComment""), ""test"")",Chrome 108.0.0.0,,,2022-12-28 11:18:08,2022-12-28 11:18:09,1.023s,PASSED
delay(10),Chrome 108.0.0.0,,,2022-12-28 11:18:09,2022-12-28 11:18:19,10.015s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:18:19,2022-12-28 11:18:20,0.797s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/button_Save1""))",Chrome 108.0.0.0,,,2022-12-28 11:18:20,2022-12-28 11:18:20,0.622s,PASSED
delay(10),Chrome 108.0.0.0,,,2022-12-28 11:18:20,2022-12-28 11:18:30,10.007s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:18:30,2022-12-28 11:18:31,0.782s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/ddLogout""))",Chrome 108.0.0.0,,,2022-12-28 11:18:31,2022-12-28 11:18:32,0.599s,PASSED
"click(findTestObject(""Object Repository/MyInfo/Page_OrangeHRM/a_Logout""))",Chrome 108.0.0.0,,,2022-12-28 11:18:32,2022-12-28 11:18:33,1.467s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Page_OrangeHRM/verifAccessWeb""), ""Login"")",Chrome 108.0.0.0,,,2022-12-28 11:18:33,2022-12-28 11:18:34,0.852s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:18:34,2022-12-28 11:18:35,0.604s,PASSED
